melhor;pior;media;mediana
13329979;-97961100290088;-19397305846685.99;19966119161530.824
13329979;-96067913621574;-20323728255426.08;21383328748090.145
13329979;-101109765137400;-23547305731611.055;22266652401735.76
13329979;-76415999259510;-22456759799464.03;20657385466178.594
13329979;-101720177711250;-21777318852171.445;22442741739656.45
13329979;-85390269075840;-21807627205336.785;21541320810260.246
13329979;-94197434158670;-22263174007921.656;20902644654394.52
13329979;-77598618680208;-21254233686266.89;20548949580575.176
13329979;-88989642645553;-19092551151130.484;20095326669490.305
13329979;-96850855733646;-20919327202297.453;22684030066976.29
13329979;-84836088082904;-20729421776845.734;20812204125147.094
13329979;-109101792506902;-22952034212099.395;22896546974014.38
13329979;-117593499215412;-22449413174362.63;21683851539190.855
13329979;-103293576092819;-25120792586855.7;23894070723026.53
13329979;-102245193469188;-24366996790488.29;22564012098417.098
13329979;-92825931839025;-22662143701919.324;21006104721903.95
13329979;-97227666694334;-23083084182520.977;21687892603220.34
13329979;-115634172225756;-23488211921915.35;23115692596670.438
13329979;-92393764538075;-23462008783311.77;22592916272995.586
13329979;-109989717972550;-20208604160286.203;22520458229323.4
13329979;-107066185646550;-17713522088134.65;21082653375601.906
13329979;-96382267957248;-22260902496245.16;22857027171293.527
13329979;-130251064189123;-22547217357665.176;23293755511808.137
13329979;-89118461451268;-21233009703881.96;21785221855519.523
13329979;-102680636780156;-22322320541349.9;22982485966429.242
13329979;-99269807370860;-22898859243245.234;22316447833128.0
13329979;-116338484221239;-24464006610867.086;25237246451179.04
13329979;-100622194860180;-20821621755012.69;21535889831314.484
13329979;-110909640063927;-22140036207744.03;22047635402120.71
13329979;-108075514830036;-22633473046169.69;22314575610135.496
13329979;-90258403022476;-20349771742878.324;21533065749484.016
13329979;-96457757602716;-20987297352997.83;19714531760165.42
13329979;-111114619365859;-18443177250518.69;21862759049869.508
13329979;-98563823865675;-19314327177004.254;23625922687329.746
13329979;-133570939746618;-22382956000078.645;22761578593772.68
13329979;-124162820500475;-21982699991529.37;24406300014569.035
13329979;-93111760347870;-21817718319332.113;22001644662988.098
13329979;-139398719716827;-24630930127058.62;23362124365036.367
13329979;-99879156814600;-21782019969432.5;22898714654391.59
13329979;-100491703525934;-20559791577143.1;21933753000968.242
13329979;-90569211862668;-20367510495530.57;21304673308602.08
13329979;-97636047496452;-21521100315211.64;21003081600773.926
13329979;-101885416949610;-18350229583095.535;20734071451360.406
13329979;-98561855607627;-19446883616160.215;19219040396810.414
13329979;-87024739251642;-19943444634690.59;19485415610670.84
13329979;-79019802594936;-19544477909743.426;19713204623382.016
13329979;-70279398227267;-20863462972486.38;19222538904601.19
13329979;-90557664532160;-19755056343020.54;17832368140396.965
13329979;-112174969304340;-22358599855595.78;24225562067394.54
13329979;-122261559910965;-25513993760254.625;24302137051934.805
13329979;-110760662892250;-24021397986611.875;23438982065553.117
13329979;-107993725001256;-22975138124426.41;22790804874824.918
13329979;-107993725001256;-23419211616045.2;23601344876611.824
13329979;-101217621692964;-23439391513529.355;23532395006684.46
13329979;-101793409688250;-24253388819903.48;22778918603485.066
13329979;-102098944130022;-24075256162307.035;21524871267969.457
13329979;-120327316543704;-22861070443763.51;22677788893474.082
13329979;-127296137296974;-22868371468400.344;22869600997397.984
13329979;-117934463497926;-20822063483373.79;22759349080374.973
13329979;-93924445211120;-22555428453939.266;23829937355747.656
13329979;-116613281784549;-25020573155059.71;24052992301690.953
13329979;-103375157186070;-25895093288257.125;23831114713455.04
13329979;-119713803155700;-26277455431965.566;24742470060276.727
13396994;-114875591488422;-24500962751573.82;23890702403937.41
13396994;-94255859922600;-22678099047656.9;21242370918605.613
13396994;-97218934320735;-22915181671665.555;23217352595499.15
13396994;-117183814200362;-24770328072525.33;24809072757829.164
13396994;-116829102800808;-23129294598931.434;21949341166945.977
13396994;-119514143760710;-21838663355691.805;22086548033049.746
13396994;-96689687428449;-22043365209359.926;20978773871894.504
13396994;-87105684134988;-23296413438731.14;22667712319863.477
13396994;-109629627972615;-24817111832416.17;24680573063910.035
13396994;-92165572623983;-23700068617423.58;22766479566650.293
13396994;-141404405412696;-22905220105383.09;24837525565399.906
13396994;-91319519392008;-20153078596934.33;21384949909301.684
13396994;-100268036250408;-20239112136630.96;22041864831805.086
13396994;-99782075040186;-20798323163692.87;22120628231834.043
13396994;-83314307262270;-20194612114134.14;20007293440333.402
13396994;-93639230470536;-21439978734616.516;20883522567389.7
13396994;-90427898089100;-17773896976720.26;18553195845449.438
13396994;-102723628780926;-17561775020865.85;19569758469921.492
13396994;-95122093719032;-18472514811246.53;20537531033768.12
13396994;-112928805313415;-21696921638106.945;22151008980132.55
13396994;-80665157210010;-18014002100608.2;18289175639840.086
13396994;-75688369231682;-18637045368027.395;19289764443268.438
13396994;-91740644632492;-19447802624123.754;20080844264037.7
13396994;-95674860677487;-18815607006376.754;20904330732153.72
13396994;-76625286563370;-19031214001787.86;18990319155859.055
13396994;-111898899761180;-17915903825800.113;20305392922587.066
13396994;-99635311853649;-19366073941838.86;20806889594451.605
13396994;-78811464785055;-20240496954062.15;19585072093137.04
13396994;-111802844322260;-21618251734887.22;21307549941809.324
13396994;-94329725905784;-23267721391643.523;22923246787183.996
13396994;-109012672466064;-20814165835920.516;22522861304991.145
13396994;-100905012268830;-22190943399258.836;24291438302092.79
13396994;-96430158926982;-22911209853493.28;22837901148224.27
13396994;-93773494835592;-20800532429166.477;20376217630602.176
13396994;-99018939740884;-19898889642157.7;20735054372400.742
13396994;-119594038065533;-19521230951179.785;21579328567799.55
13396994;-98239208912075;-22408259728765.355;23959355370693.35
13396994;-83914831492065;-21858315966133.04;20315611599445.77
13396994;-124081003638444;-24942648285280.27;23618055726963.31
13396994;-99568752374430;-23555361100243.36;23080019634537.996
13396994;-111567202937856;-21085330682510.41;21577930261575.047
13396994;-113729543328108;-22828479485216.91;22287797239926.36
13396994;-85256030294732;-20774366521908.04;20582473761337.5
13396994;-87336588553410;-18922698898037.6;18486975570452.535
13396994;-85865164971803;-21119241176319.176;19210213420206.34
13396994;-112550422980784;-22831560970988.66;23454257248607.895
13396994;-103868652336585;-22834864076338.336;22524970181292.79
13396994;-92803083269268;-22004526620778.08;21503633357372.49
13396994;-109801613460756;-23720574533677.71;24540067285017.082
13396994;-98771697110192;-22310977201275.203;21672835535428.56
13396994;-116070304658110;-23451202598688.363;22170808615993.508
13396994;-94190916987264;-24353242690815.18;23023798025579.43
13396994;-92901695691375;-21794335534855.766;21323504799612.36
13396994;-119925351187845;-21060138747101.336;21939947653824.8
13396994;-108206950976748;-21477110429298.28;19723824668218.33
13396994;-95541205592672;-20721581476783.21;20961050785397.777
13396994;-82238698317464;-19998386991754.926;19982937720602.61
13396994;-128848320948456;-21630288717460.04;23618637371917.516
13396994;-111752220169296;-23696886854139.656;23428714337211.043
13396994;-104375134661301;-23579657668962.395;23478995657772.34
13396994;-94520449182160;-22458769025011.406;22156825118610.89
13396994;-117774073547130;-24103190938315.984;25042304337541.164
13396994;-108461945473882;-20957333089737.81;22603022997692.418
13396994;-91468160827428;-19897468984480.066;22678129352272.934
13396994;-97608864716935;-21280430028668.44;21327578486283.3
13396994;-89064563897920;-22085022208544.297;21458317003838.332
13396994;-114403788796020;-22593815074013.004;21679234897896.59
13396994;-103442230325875;-19917407968159.8;22106438767245.094
13396994;-125584874810536;-24037290393437.09;23594027597108.414
13396994;-131864487432700;-23239745916389.305;23183890839665.652
13396994;-100745598733200;-24436180896504.547;23622928352730.47
13396994;-93221635516776;-23254990129964.176;21934952224706.184
13396994;-107216629400860;-24250314655590.72;21190685262730.08
13396994;-113367617154255;-22058995244433.977;23402737304816.844
13396994;-125761681069008;-22663614720543.176;23189776650820.973
13396994;-123029890951317;-26922676321102.62;26105386590297.934
13396994;-125772621570000;-26589659802580.24;25773785759583.375
13396994;-131261592296826;-28643826893059.22;27669704335871.473
13396994;-129551980261373;-25755975351865.55;23321518348431.99
13396994;-120826371697779;-22474455853429.656;22256782273193.152
13396994;-105604458131271;-20680969335499.035;20718720068673.07
13396994;-97216922695971;-24364312099806.42;23183152845964.45
13396994;-118588375398723;-22436427605956.254;23155652845440.65
13396994;-92983414212972;-23046868028826.625;23381777657456.2
13396994;-128811845589756;-23422883151897.26;23247518340235.5
13396994;-93359935687590;-20808273279288.99;22241506356658.273
13396994;-94540511729790;-21149251228293.656;21984712054575.375
13396994;-94163691511040;-22348010946727.67;21258032264799.516
13396994;-112937244133830;-22962603782723.074;22615081788191.836
13396994;-97151364879305;-24305711051436.316;22789898298402.223
13396994;-145756861346685;-26215325664548.51;26417118189120.918
13396994;-118681701534326;-28427083190775.465;26458973217655.89
13396994;-94643311245924;-24383423356489.945;22397164998077.89
13396994;-115450519893395;-26274696927604.43;25578860046139.33
13396994;-118857827628672;-23800058240529.98;21746544768062.004
13396994;-109472846251748;-20950831041082.81;21161277867903.477
13396994;-100716236069425;-21700180003081.5;21404572923654.434
13396994;-99890098804736;-20584981192071.01;19642991157804.785
13396994;-111242887130616;-20867291094014.855;21093112810170.89
13396994;-98106302479692;-21414218400181.754;21152674966862.977
13396994;-98461303144425;-18856035152692.406;21829856905806.574
13396994;-106889711119704;-21085817135226.605;21530158606491.812
13396994;-87996106922960;-24167526665481.504;22466333470700.64
13396994;-111030942714956;-25985163960291.297;24482760649834.523
13396994;-111030942714956;-25985163960291.297;24482760649834.523
